Partlist exported from /Users/jeffw/Documents/Codeshelf/Engineering/CAD/Codeshelf-0008/Codeshelf-0008.v01.sch at 2/1/14 3:29 PM

Qty	MfgPartNum	MfgName	MfgPrice	Value	Device	Package	Notes	Parts	
3				FIDUCIAL	FIDUCIAL	FIDUCIAL_1MM		U$2, U$3, U$4	
2				JUMPER-2X-SMT-VIA	JUMPER-2X-SMT-VIA	JUMPER-VIA-2X	DNP - flashing jumper	JF1, JF2	
1				M05X2PTH	M05X2PTH	AVR_ICSP	DNP - flashing header	J1	
2				M08X2	M08X2	2X8	DNP - optional channels	J3, J4	
1	74HCT193PW	NXP	0.60	74HCT193PW	74HCT193PW	TSSOP16		U5	
3	74LVC1G08SE	Diodes, Inc	0.38	74AHC1G08DCK	74AHC1G08DCK	SC70-5		IC4, IC5, IC6	
2	74LVC1GU04GW	NXP	0.25	74AHC1G04DCK	74AHC1G04DCK	SC70-5		IC1, IC2	
1	163-7620-E			POWER_JACKPTH	POWER_JACKPTH	POWER_JACK_PTH		J2	
1	39357-0004	Molex	1.00	HEADER-4X39357	HEADER-4X39357	MOLEX-39357-0004		SSI-5V	
2	BSS138TA	Diodes Inc	0.54	MOSFET-NCHANNELBSS138	MOSFET-NCHANNELBSS138	SOT23		Q1, Q2	
3	C0603C101K5RACTU	Murata		100pF	RF-C0603	C0603		C1, C3, C4	
1	C0603C102K4RACTU	Murata		1nF	RF-C0603	C0603		C2	
1	ERJ-2GEJ104X	Panasonic		100K	RF-R0402	RF-R0402		R1	
4	ERJ-2GEJ224X	Panasonic		10K	RF-R0402	RF-R0402		R4, R5, R6, R7	
1	ERJ-2GEJ224X	Panasonic		220	RF-R0402	RF-R0402	DNP	R2	
1	ERJ-2GEJ394X	Panasonic		390	RF-R0402	RF-R0402	DNP	R3	
5	GRM155R61C104KA88D	Murata	0.03	.1uF	RF-C0402	C0402		C10, C11, C12, C13, C14	
1	L4931ABDT33-TR	STM Electronics	1.00	LM2936DT-3.3	LM2936DT-3.3	TO252		U3	
1	Q62702P5182	OSRAM		RED	LEDCHIP-LED0805	CHIP-LED0805	DNP	D1	
1	Q65110P5179	OSRAM		GREEN	LEDCHIP-LED0805	CHIP-LED0805	DNP	D2	
1	SN74HC595PWR	TI	0.31	SN74HC595PW	SN74HC595PW	TSSOP16		U4	
3	SN74LVC1G79DBVR	TI	0.27	D-FLIP-FLOP-74LV1G79DBVR	D-FLIP-FLOP-74LV1G79DBVR	SOT23-5		U6, U7, U8	
1	ZFSM-201-1C	CEL	29.00	ZSFM201-1A	ZSFM201-1A	ZSFM201-1		U1	
