Partlist exported from /Users/jeffw/Documents/Codeshelf/Engineering/CAD/Codeshelf-0007/Codeshelf-0007.v02.sch at 1/28/14 3:49 PM

Qty	MfgPartNum	MfgName	MfgPrice	Value	Device	Package	Notes	Parts	
1				CODESHELF-LOGO	CODESHELF-LOGO	CODESHELF-LOGO		LOGO	
3				FIDUCIAL	FIDUCIAL	FIDUCIAL_1MM		U$1, U$2, U$3	
1				HEADER-3X2	HEADER-3X2	HEADER-3X2		BDM	
2	  GRM155R61C104KA88D	Murata	0.02	.1uF	RF-C0402	C0402		C1, C2	
1	320.03E11	ESwitch		SWITCH-TACTILE-320.03E11	SWITCH-TACTILE-320.03E11	SWITCH-TACTILE-320.03E11		SW-ACK	
1	320.08RED	ESwitch	0.87	EXTERNAL-COMPONENT	EXTERNAL-COMPONENT	EXTERNAL-COMPONENT	DNP - non-board part	ACK.BUTTON.KEYCAP	
2	54602-908LF	FCI	0.02	RJ45-8PTH	RJ45-8PTH	RJ45-8		J1, J2	
1	CAT9552YI-T2	On Semiconductor	1.28	CAT9552	CAT9552	TSSOP24		U3	
2	ERJ-2GEJ103X	Panasonic	0.02	10K	RF-R0402	RF-R0402		R2, R3	
1	ERJ-2GEJ332X	Panasonic	0.02	3.3K	RF-R0402	RF-R0402		R1	
2	FSM16JH	TE Connectivity	0.18	SWITCH-TACTILE-FSM	SWITCH-TACTILE-FSM	SWITCH-TACTILE-FSM		SW-DEC, SW-INC	
1	HDSP-521E	Avago	0.83	7SEGMENT-2DIGIT	7SEGMENT-2DIGIT	7SEGMENT-2DIG-.54		U7	
1	MC9S08QG8CDTER	Freescale	1.73	MC9S08QG-DT	MC9S08QG-DT	TSSOP16		U2	
1	PN-1321-C	Bud Industries	8.50	EXTERNAL-COMPONENT	EXTERNAL-COMPONENT	EXTERNAL-COMPONENT	DNP - non-board part	CASE	
4	R30-3001502	Harwin	1.00	EXTERNAL-COMPONENT	EXTERNAL-COMPONENT	EXTERNAL-COMPONENT	DNP - non-board part	STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4	
1	SN65HVD1781DR	TI	4.29	RS485SOIC	RS485SOIC	SO08		U4	
4	YC164-JR-07120RL	Yageo	0.006	RESISTOR-ARRAY-4X-3216	RESISTOR-ARRAY-4X-3216	3216-4X		R.D2A, R.D2B, R.D2C, R.D2D	
